Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Abdominal Pain,Confusion,Headache,Skin Peeling,Cough,Vomiting,Sore Throat,Dengue
Skin Redness,Ear Pain,Sweating,Skin Peeling,Muscle Pain,Blurred Vision,Cough,Cold
Blurred Vision,Difficulty Swallowing,Loss of Smell,Fatigue,Chills,Loss of Taste,Skin Peeling,Malaria
Vomiting,Loss of Taste,Ear Pain,Skin Peeling,Loss of Appetite,Headache,Blurred Vision,Unknown
Blurred Vision,Rash,Chills,Sweating,Nausea,High Blood Pressure,Chest Pain,Migraine
Rapid Heart Rate,Fatigue,Runny Nose,Rash,Chest Pain,Nausea,Ear Pain,Unknown
Rapid Heart Rate,Rash,Shortness of Breath,Sore Throat,Loss of Taste,Skin Redness,Loss of Appetite,Scarlet Fever
Abdominal Pain,Chest Pain,Runny Nose,Cough,Ear Pain,Blurred Vision,Low Blood Pressure,Unknown
Cough,Blurred Vision,Joint Pain,Ear Pain,Confusion,Dizziness,Loss of Smell,Unknown
Shortness of Breath,Vomiting,Cough,Abdominal Pain,Headache,Skin Peeling,Skin Redness,Food Poisoning
Abdominal Pain,Dizziness,Swollen Lymph Nodes,Diarrhea,Sweating,Ear Pain,Fatigue,Typhoid
Chest Pain,Nausea,Headache,Joint Pain,Runny Nose,Swollen Lymph Nodes,Ear Pain,Migraine
Low Blood Pressure,Abdominal Pain,Skin Redness,Fatigue,Sweating,Difficulty Swallowing,Nausea,Typhoid
Dizziness,Muscle Pain,Confusion,Joint Pain,Fever,Sore Throat,Abdominal Pain,Ear Infection
Rash,Blurred Vision,Loss of Smell,Dizziness,Swollen Lymph Nodes,Cough,Diarrhea,Dengue
Skin Redness,Chills,Loss of Appetite,Rash,Headache,Vomiting,Difficulty Swallowing,Typhoid
Abdominal Pain,Blurred Vision,Chest Pain,Rash,Muscle Pain,Swollen Lymph Nodes,High Blood Pressure,Migraine
Blurred Vision,Cough,Diarrhea,Dizziness,Skin Redness,Sore Throat,Loss of Taste,COVID-19
Headache,Loss of Appetite,Runny Nose,Chills,Skin Redness,Rapid Heart Rate,Shortness of Breath,Unknown
Loss of Appetite,Diarrhea,Fever,Headache,Swollen Lymph Nodes,Low Blood Pressure,Difficulty Swallowing,COVID-19
Joint Pain,Chest Pain,Loss of Appetite,High Blood Pressure,Sore Throat,Rash,Shortness of Breath,Flu
Joint Pain,Skin Redness,Diarrhea,Loss of Taste,Sore Throat,Chest Pain,Abdominal Pain,Food Poisoning
Sweating,Abdominal Pain,Skin Redness,Shortness of Breath,Nausea,Diarrhea,Runny Nose,Unknown
Chest Pain,Low Blood Pressure,Sore Throat,Skin Peeling,Skin Redness,Chills,Sweating,Unknown
Loss of Taste,Sweating,Muscle Pain,Weakness,Cough,Joint Pain,Chills,Unknown
Dizziness,Weakness,Vomiting,Loss of Appetite,Ear Pain,Skin Redness,Rapid Heart Rate,Unknown
Shortness of Breath,Chills,Sore Throat,Loss of Appetite,Rash,Chest Pain,Diarrhea,Malaria
Skin Peeling,Fatigue,Diarrhea,Dizziness,Ear Pain,Muscle Pain,High Blood Pressure,Migraine
Fatigue,Loss of Taste,Fever,Joint Pain,Headache,Swollen Lymph Nodes,Nausea,Malaria
Low Blood Pressure,High Blood Pressure,Sore Throat,Skin Redness,Confusion,Skin Peeling,Rash,Unknown
Diarrhea,Loss of Smell,Fever,Rash,Muscle Pain,Fatigue,Loss of Taste,Meningitis
Loss of Smell,Skin Peeling,Shortness of Breath,Dizziness,Difficulty Swallowing,Skin Redness,Ear Pain,Scarlet Fever
Weakness,Loss of Taste,High Blood Pressure,Fatigue,Fever,Muscle Pain,Joint Pain,Unknown
Abdominal Pain,Shortness of Breath,Low Blood Pressure,Confusion,Skin Peeling,Rapid Heart Rate,Dizziness,Unknown
Sore Throat,Loss of Smell,Dizziness,Fever,Joint Pain,Fatigue,Abdominal Pain,Strep Throat
Loss of Smell,Low Blood Pressure,Runny Nose,Ear Pain,Nausea,Skin Peeling,Confusion,Scarlet Fever
High Blood Pressure,Cough,Low Blood Pressure,Joint Pain,Rapid Heart Rate,Difficulty Swallowing,Fever,Hypotension
Runny Nose,Chest Pain,High Blood Pressure,Difficulty Swallowing,Confusion,Cough,Rash,Ear Infection
Skin Peeling,Sweating,Muscle Pain,Abdominal Pain,Fatigue,Chills,Skin Redness,Malaria
Muscle Pain,Loss of Smell,Cough,Loss of Taste,Vomiting,Sweating,Joint Pain,Malaria
Blurred Vision,Headache,Chills,Muscle Pain,Sore Throat,Diarrhea,Nausea,Malaria
Nausea,Weakness,Chills,Abdominal Pain,Difficulty Swallowing,Chest Pain,Rash,Ear Infection
Loss of Smell,Diarrhea,Chills,Ear Pain,Swollen Lymph Nodes,Headache,Confusion,Flu
Nausea,Headache,Shortness of Breath,Fever,Confusion,Sore Throat,Sweating,Ear Infection
Diarrhea,Swollen Lymph Nodes,Chest Pain,Ear Pain,Dizziness,Joint Pain,Weakness,Dengue
Chills,Diarrhea,Blurred Vision,Sweating,Low Blood Pressure,Loss of Taste,Rapid Heart Rate,Unknown
Ear Pain,Weakness,Cough,Rapid Heart Rate,Loss of Smell,Loss of Taste,Confusion,Unknown
Rapid Heart Rate,Nausea,Abdominal Pain,Sweating,Sore Throat,Headache,Vomiting,Dengue
High Blood Pressure,Sweating,Ear Pain,Cough,Abdominal Pain,Shortness of Breath,Swollen Lymph Nodes,Unknown
Fatigue,Fever,Sore Throat,Skin Peeling,High Blood Pressure,Confusion,Runny Nose,Typhoid
Rapid Heart Rate,Joint Pain,Fatigue,Loss of Smell,Low Blood Pressure,Cough,Ear Pain,Pneumonia
Vomiting,Dizziness,Fever,Diarrhea,Difficulty Swallowing,Chills,Nausea,Dengue
Difficulty Swallowing,Joint Pain,Nausea,Confusion,Blurred Vision,Loss of Smell,Sweating,Dengue
Rash,Loss of Taste,Skin Redness,Fever,High Blood Pressure,Confusion,Cough,COVID-19
Dizziness,Skin Redness,Headache,Ear Pain,Diarrhea,Chest Pain,Blurred Vision,Food Poisoning
Dizziness,Loss of Appetite,Skin Redness,Swollen Lymph Nodes,Difficulty Swallowing,Cough,Loss of Smell,Cold
Chills,Vomiting,Dizziness,Sore Throat,Low Blood Pressure,Runny Nose,Skin Peeling,Hypertension
Rash,Abdominal Pain,Runny Nose,Chest Pain,Shortness of Breath,Fatigue,Skin Peeling,Pneumonia
Rapid Heart Rate,Abdominal Pain,Loss of Smell,Confusion,Chills,Runny Nose,Dizziness,Meningitis
Loss of Smell,High Blood Pressure,Rash,Cough,Nausea,Weakness,Muscle Pain,Unknown
Swollen Lymph Nodes,Loss of Appetite,Chills,Skin Redness,Sweating,Ear Pain,Rash,Unknown
Nausea,Skin Peeling,Rash,Diarrhea,High Blood Pressure,Chills,Cough,Meningitis
Skin Redness,Shortness of Breath,Joint Pain,Headache,Abdominal Pain,Fever,Skin Peeling,Pneumonia
Low Blood Pressure,Fever,Loss of Appetite,Vomiting,Shortness of Breath,Nausea,Swollen Lymph Nodes,Scarlet Fever
Ear Pain,Skin Peeling,Fatigue,Blurred Vision,Loss of Smell,Runny Nose,Sweating,Unknown
High Blood Pressure,Difficulty Swallowing,Muscle Pain,Loss of Appetite,Low Blood Pressure,Nausea,Skin Peeling,Scarlet Fever
Headache,Loss of Appetite,Sore Throat,Blurred Vision,Confusion,Skin Redness,Swollen Lymph Nodes,Unknown
Low Blood Pressure,Chest Pain,Skin Peeling,Rash,Skin Redness,Dizziness,Shortness of Breath,Unknown
Fatigue,Swollen Lymph Nodes,High Blood Pressure,Loss of Taste,Sore Throat,Skin Redness,Nausea,Meningitis
Cough,Confusion,Vomiting,Runny Nose,Weakness,High Blood Pressure,Fatigue,Pneumonia
Sore Throat,Vomiting,Loss of Smell,Confusion,Shortness of Breath,Nausea,Abdominal Pain,Unknown
Muscle Pain,Diarrhea,Fatigue,Ear Pain,Loss of Taste,Fever,Swollen Lymph Nodes,Typhoid
Chills,Abdominal Pain,Swollen Lymph Nodes,Runny Nose,Diarrhea,Skin Redness,Skin Peeling,Typhoid
Loss of Taste,Rapid Heart Rate,Rash,Low Blood Pressure,Loss of Appetite,Headache,Abdominal Pain,Food Poisoning
Difficulty Swallowing,Sore Throat,Joint Pain,Cough,Loss of Taste,Headache,Loss of Appetite,Meningitis
Confusion,Dizziness,Skin Redness,Headache,Difficulty Swallowing,Loss of Taste,Skin Peeling,Hypertension
Nausea,Vomiting,Chest Pain,Diarrhea,Abdominal Pain,Blurred Vision,Muscle Pain,Unknown
Nausea,Rash,Cough,Chest Pain,Muscle Pain,High Blood Pressure,Abdominal Pain,Unknown
Blurred Vision,Cough,Difficulty Swallowing,Loss of Smell,Sweating,Low Blood Pressure,Rash,Malaria
Chest Pain,Ear Pain,Shortness of Breath,Low Blood Pressure,Runny Nose,Muscle Pain,Nausea,Food Poisoning
Fatigue,Rash,Weakness,Muscle Pain,Chest Pain,Confusion,Swollen Lymph Nodes,Typhoid
Cough,Skin Redness,Fever,Confusion,Loss of Appetite,High Blood Pressure,Fatigue,Strep Throat
Weakness,Shortness of Breath,Loss of Appetite,Cough,Joint Pain,Chills,Fever,Flu
Skin Redness,Swollen Lymph Nodes,Headache,Sweating,Skin Peeling,Loss of Taste,Nausea,Ear Infection
Chest Pain,High Blood Pressure,Sore Throat,Fever,Weakness,Loss of Smell,Chills,Dengue
Vomiting,Weakness,Abdominal Pain,Fatigue,Chest Pain,Skin Peeling,Chills,Typhoid
Chills,Weakness,Fever,Abdominal Pain,Nausea,Skin Redness,Loss of Smell,Meningitis
Loss of Smell,Loss of Taste,Skin Peeling,Confusion,Abdominal Pain,Loss of Appetite,Weakness,Meningitis
Weakness,Sore Throat,Shortness of Breath,Cough,Skin Peeling,Loss of Appetite,Dizziness,Malaria
Skin Peeling,Chills,Swollen Lymph Nodes,Diarrhea,Runny Nose,Difficulty Swallowing,Dizziness,Hypotension
Vomiting,Chills,Skin Redness,Confusion,Rash,Low Blood Pressure,Shortness of Breath,Unknown
Nausea,Loss of Taste,Runny Nose,Rapid Heart Rate,Chest Pain,Skin Redness,Shortness of Breath,Unknown
Skin Peeling,Dizziness,Joint Pain,Difficulty Swallowing,Fever,Chills,High Blood Pressure,Pneumonia
Abdominal Pain,Loss of Appetite,Difficulty Swallowing,Vomiting,Joint Pain,Cough,Loss of Taste,Ear Infection
Fatigue,Confusion,Shortness of Breath,Vomiting,Sweating,Blurred Vision,Weakness,Meningitis
Runny Nose,Blurred Vision,Joint Pain,Sore Throat,Cough,Sweating,Skin Redness,Unknown
Vomiting,Rash,Headache,Chills,Sore Throat,Weakness,Rapid Heart Rate,Malaria
Ear Pain,Chest Pain,Confusion,Rash,Swollen Lymph Nodes,Abdominal Pain,Loss of Smell,Pneumonia
High Blood Pressure,Joint Pain,Blurred Vision,Muscle Pain,Headache,Dizziness,Shortness of Breath,Malaria
Muscle Pain,Loss of Taste,Blurred Vision,Runny Nose,Abdominal Pain,Swollen Lymph Nodes,Vomiting,Unknown
Skin Redness,Sweating,Joint Pain,Ear Pain,Dizziness,Fever,Abdominal Pain,Flu
Sweating,Chills,Shortness of Breath,Rapid Heart Rate,Sore Throat,Dizziness,Cough,Flu
Difficulty Swallowing,Skin Peeling,Low Blood Pressure,Loss of Appetite,Fatigue,Shortness of Breath,Rapid Heart Rate,Scarlet Fever
Swollen Lymph Nodes,Headache,Vomiting,Abdominal Pain,Loss of Smell,Fatigue,Cough,Pneumonia
Muscle Pain,Low Blood Pressure,Fever,Weakness,Abdominal Pain,Joint Pain,Ear Pain,Hypotension
Sweating,Shortness of Breath,Swollen Lymph Nodes,Ear Pain,Confusion,Abdominal Pain,Loss of Appetite,COVID-19
Nausea,Loss of Taste,Headache,Runny Nose,Chest Pain,Blurred Vision,Loss of Smell,Unknown
Muscle Pain,Loss of Smell,Sweating,Headache,Skin Peeling,Runny Nose,Swollen Lymph Nodes,Meningitis
Ear Pain,Muscle Pain,Rapid Heart Rate,Sweating,Vomiting,Headache,Skin Redness,Scarlet Fever
Confusion,Loss of Appetite,Joint Pain,Weakness,Abdominal Pain,Skin Redness,Swollen Lymph Nodes,Typhoid
Shortness of Breath,Difficulty Swallowing,Abdominal Pain,Weakness,Cough,Skin Peeling,Blurred Vision,COVID-19
Headache,Loss of Appetite,Loss of Taste,Chest Pain,Dizziness,Sweating,Nausea,Ear Infection
Headache,Sweating,Muscle Pain,Joint Pain,Loss of Taste,Fever,Chills,Unknown
Shortness of Breath,Dizziness,Chills,Diarrhea,Skin Peeling,Loss of Taste,Joint Pain,Unknown
Confusion,Difficulty Swallowing,Ear Pain,Swollen Lymph Nodes,Diarrhea,Loss of Taste,Abdominal Pain,Unknown
Rapid Heart Rate,Sweating,Ear Pain,Fever,Joint Pain,Vomiting,Rash,Unknown
Ear Pain,Fatigue,Rapid Heart Rate,Weakness,Runny Nose,Fever,Swollen Lymph Nodes,Meningitis
Loss of Taste,Skin Redness,Diarrhea,Skin Peeling,Cough,Confusion,Sore Throat,Unknown
Chills,Loss of Appetite,Swollen Lymph Nodes,Abdominal Pain,Blurred Vision,Shortness of Breath,Dizziness,Unknown
Nausea,Skin Peeling,Fever,Confusion,Weakness,Ear Pain,Rash,Food Poisoning
Low Blood Pressure,Sweating,Fever,Rash,Chest Pain,Blurred Vision,Chills,Migraine
Confusion,Sweating,Joint Pain,Blurred Vision,Low Blood Pressure,Dizziness,Runny Nose,Hypotension
Vomiting,Muscle Pain,Joint Pain,Confusion,Sore Throat,Chest Pain,Loss of Taste,Meningitis
Muscle Pain,Swollen Lymph Nodes,Rash,Nausea,Sore Throat,Blurred Vision,Headache,Flu
Weakness,Fever,Low Blood Pressure,Blurred Vision,Dizziness,Joint Pain,Chest Pain,Hypertension
High Blood Pressure,Blurred Vision,Sweating,Vomiting,Nausea,Cough,Runny Nose,COVID-19
Weakness,Sore Throat,Joint Pain,Vomiting,Skin Peeling,Loss of Appetite,Chest Pain,Scarlet Fever
Dizziness,Weakness,Cough,Ear Pain,Nausea,Headache,Chills,Flu
Skin Redness,Chills,Weakness,Abdominal Pain,Fever,Loss of Taste,Skin Peeling,Unknown
Blurred Vision,Loss of Smell,Abdominal Pain,Muscle Pain,Shortness of Breath,Sore Throat,Sweating,Unknown
Loss of Taste,Difficulty Swallowing,Fever,Joint Pain,Loss of Appetite,Shortness of Breath,Sweating,Strep Throat
Fever,Confusion,Joint Pain,Cough,Low Blood Pressure,Shortness of Breath,Weakness,Scarlet Fever
Dizziness,Rash,Abdominal Pain,Shortness of Breath,Headache,Nausea,Fever,COVID-19
Loss of Smell,Difficulty Swallowing,Skin Redness,Abdominal Pain,Headache,Chest Pain,Sore Throat,Ear Infection
Sweating,Headache,Shortness of Breath,Blurred Vision,Skin Redness,Runny Nose,Fatigue,Meningitis
Chest Pain,Vomiting,Swollen Lymph Nodes,Rash,Ear Pain,Joint Pain,Headache,Ear Infection
Skin Peeling,Diarrhea,Skin Redness,Ear Pain,Rash,Loss of Taste,Muscle Pain,Unknown
Muscle Pain,Ear Pain,High Blood Pressure,Runny Nose,Swollen Lymph Nodes,Rash,Fatigue,Dengue
Sore Throat,Nausea,Loss of Appetite,Shortness of Breath,Cough,Low Blood Pressure,Blurred Vision,COVID-19
Abdominal Pain,Sweating,Shortness of Breath,Vomiting,Swollen Lymph Nodes,Diarrhea,Skin Peeling,Unknown
Swollen Lymph Nodes,Headache,Nausea,Shortness of Breath,Low Blood Pressure,Rapid Heart Rate,Chest Pain,Unknown
Fatigue,Low Blood Pressure,Dizziness,Weakness,Rapid Heart Rate,Nausea,Ear Pain,Flu
Abdominal Pain,Runny Nose,Cough,Blurred Vision,Low Blood Pressure,Rapid Heart Rate,Joint Pain,Hypotension
Loss of Taste,Nausea,Vomiting,Weakness,Shortness of Breath,Sore Throat,Loss of Smell,Pneumonia
Ear Pain,Headache,Vomiting,Fever,Chills,Diarrhea,Rash,Unknown
Ear Pain,Rapid Heart Rate,Chest Pain,Confusion,Sweating,Nausea,Loss of Appetite,Unknown
Skin Redness,Blurred Vision,Loss of Taste,Ear Pain,Swollen Lymph Nodes,Headache,Difficulty Swallowing,Unknown
Diarrhea,Sweating,Skin Peeling,Blurred Vision,Loss of Smell,Skin Redness,Confusion,Unknown
Loss of Smell,High Blood Pressure,Loss of Taste,Cough,Difficulty Swallowing,Low Blood Pressure,Muscle Pain,Dengue
Confusion,Headache,Skin Redness,Chills,Vomiting,Shortness of Breath,Ear Pain,Dengue
Sweating,Rash,Swollen Lymph Nodes,Diarrhea,Sore Throat,Loss of Taste,Abdominal Pain,Unknown
Chills,Skin Peeling,High Blood Pressure,Blurred Vision,Chest Pain,Loss of Smell,Sore Throat,Strep Throat
Swollen Lymph Nodes,Sweating,Chest Pain,Nausea,Weakness,Blurred Vision,Fatigue,Malaria
Rash,Swollen Lymph Nodes,Muscle Pain,Joint Pain,Fever,Difficulty Swallowing,Low Blood Pressure,Dengue
Chest Pain,Skin Peeling,Sore Throat,Headache,Vomiting,Low Blood Pressure,Diarrhea,Hypertension
Swollen Lymph Nodes,Chest Pain,Fever,Sore Throat,Skin Redness,Fatigue,Loss of Appetite,Strep Throat
Confusion,Sweating,Joint Pain,Abdominal Pain,Fever,Headache,Dizziness,Dengue
Rash,Sore Throat,Ear Pain,Muscle Pain,Runny Nose,Chills,Skin Peeling,Unknown
Rash,Joint Pain,Blurred Vision,Shortness of Breath,Difficulty Swallowing,Chills,Loss of Taste,COVID-19
Rash,Joint Pain,Sweating,Low Blood Pressure,Loss of Taste,Difficulty Swallowing,Chills,Unknown
Skin Redness,Cough,Chest Pain,Muscle Pain,Rapid Heart Rate,Swollen Lymph Nodes,Shortness of Breath,COVID-19
Fatigue,Loss of Taste,Low Blood Pressure,Loss of Appetite,Chills,Sore Throat,Sweating,Unknown
Chest Pain,Shortness of Breath,Loss of Smell,Headache,Fatigue,Confusion,Skin Redness,Typhoid
Shortness of Breath,Vomiting,Chills,Blurred Vision,Diarrhea,Loss of Taste,Fatigue,Typhoid
Shortness of Breath,Loss of Smell,Low Blood Pressure,Sore Throat,Rapid Heart Rate,Loss of Appetite,Chest Pain,Strep Throat
Abdominal Pain,Ear Pain,Cough,Blurred Vision,Chills,Headache,Confusion,Food Poisoning
Headache,Skin Peeling,Chest Pain,High Blood Pressure,Shortness of Breath,Rash,Rapid Heart Rate,Scarlet Fever
Swollen Lymph Nodes,Difficulty Swallowing,Fever,Ear Pain,Fatigue,Diarrhea,Low Blood Pressure,Food Poisoning
Abdominal Pain,Ear Pain,Blurred Vision,Runny Nose,Skin Redness,Headache,Rash,Unknown
Difficulty Swallowing,Vomiting,Sore Throat,Diarrhea,Swollen Lymph Nodes,Loss of Appetite,Confusion,Unknown
Fatigue,Dizziness,High Blood Pressure,Sore Throat,Rash,Sweating,Weakness,Hypertension
Loss of Taste,Fever,Skin Redness,Sweating,Swollen Lymph Nodes,Abdominal Pain,Skin Peeling,Malaria
Swollen Lymph Nodes,Diarrhea,High Blood Pressure,Sore Throat,Skin Peeling,Fatigue,Runny Nose,COVID-19
Fever,Fatigue,Dizziness,Skin Redness,Rash,Nausea,Blurred Vision,Food Poisoning
Sore Throat,Chest Pain,Loss of Smell,Blurred Vision,High Blood Pressure,Headache,Sweating,Dengue
Chest Pain,Vomiting,Sore Throat,Loss of Taste,Fatigue,Nausea,Shortness of Breath,Meningitis
Ear Pain,Joint Pain,Headache,Difficulty Swallowing,Low Blood Pressure,Muscle Pain,Chest Pain,Hypotension
Swollen Lymph Nodes,Chills,Skin Redness,Fever,Sore Throat,Loss of Smell,Shortness of Breath,Dengue
Chest Pain,Dizziness,Chills,Loss of Smell,Ear Pain,Fever,Loss of Appetite,Ear Infection
Blurred Vision,Chest Pain,Sweating,Shortness of Breath,Confusion,Joint Pain,Skin Redness,Dengue
Headache,Blurred Vision,Skin Redness,Weakness,Fatigue,Swollen Lymph Nodes,Dizziness,Malaria
Joint Pain,Blurred Vision,Loss of Taste,Runny Nose,Sore Throat,Shortness of Breath,Difficulty Swallowing,Dengue
Swollen Lymph Nodes,Low Blood Pressure,Headache,Sore Throat,Shortness of Breath,Abdominal Pain,Nausea,Typhoid
Fatigue,Rapid Heart Rate,Vomiting,Difficulty Swallowing,Runny Nose,Muscle Pain,Sore Throat,Scarlet Fever
Weakness,Blurred Vision,Muscle Pain,Vomiting,Sore Throat,High Blood Pressure,Diarrhea,Strep Throat
Sweating,Weakness,Loss of Smell,Muscle Pain,Headache,Fever,Swollen Lymph Nodes,Meningitis
Muscle Pain,Swollen Lymph Nodes,Fever,Low Blood Pressure,Chills,Shortness of Breath,Ear Pain,Ear Infection
Loss of Smell,Rash,Weakness,Confusion,Runny Nose,Ear Pain,High Blood Pressure,Hypertension
Headache,Confusion,Loss of Smell,Vomiting,Chest Pain,Skin Redness,Chills,Unknown
Dizziness,Loss of Smell,Fever,Fatigue,Abdominal Pain,Ear Pain,Loss of Appetite,Migraine
Confusion,Loss of Taste,Ear Pain,Difficulty Swallowing,Sore Throat,Fever,Vomiting,Unknown
Weakness,Rash,Diarrhea,Fever,Abdominal Pain,Low Blood Pressure,Muscle Pain,Unknown
Cough,Rash,Blurred Vision,Loss of Appetite,Dizziness,Joint Pain,Skin Redness,Unknown
Confusion,Loss of Taste,Low Blood Pressure,Cough,Skin Redness,Vomiting,Rapid Heart Rate,Unknown
High Blood Pressure,Ear Pain,Swollen Lymph Nodes,Blurred Vision,Sweating,Shortness of Breath,Muscle Pain,COVID-19
Low Blood Pressure,High Blood Pressure,Headache,Confusion,Vomiting,Rapid Heart Rate,Chest Pain,Dengue
Skin Peeling,Loss of Appetite,Swollen Lymph Nodes,Confusion,Rash,Sweating,Vomiting,Unknown
Low Blood Pressure,Chest Pain,Fatigue,Shortness of Breath,Difficulty Swallowing,Swollen Lymph Nodes,Chills,Strep Throat
Abdominal Pain,Runny Nose,Skin Redness,High Blood Pressure,Nausea,Fatigue,Loss of Smell,Cold
Loss of Appetite,Low Blood Pressure,Skin Peeling,Blurred Vision,Swollen Lymph Nodes,Muscle Pain,Fever,Unknown
Chest Pain,Skin Redness,Sweating,Rash,Swollen Lymph Nodes,Weakness,Dizziness,Unknown
High Blood Pressure,Shortness of Breath,Muscle Pain,Chest Pain,Swollen Lymph Nodes,Blurred Vision,Loss of Smell,Unknown
Nausea,Difficulty Swallowing,Skin Redness,Joint Pain,Runny Nose,Loss of Taste,Shortness of Breath,Unknown
Rash,Skin Redness,Chills,Ear Pain,Abdominal Pain,Swollen Lymph Nodes,Chest Pain,Malaria
Diarrhea,Rapid Heart Rate,Cough,Sore Throat,Low Blood Pressure,Weakness,Rash,Dengue
Skin Redness,Chest Pain,Sore Throat,Joint Pain,Difficulty Swallowing,Loss of Appetite,Muscle Pain,Unknown
Loss of Smell,Abdominal Pain,Fatigue,Sweating,Skin Redness,Shortness of Breath,Rash,Unknown
Weakness,Vomiting,Confusion,Shortness of Breath,Fever,Ear Pain,Skin Redness,Unknown
Joint Pain,Difficulty Swallowing,Confusion,Dizziness,Sore Throat,Sweating,Swollen Lymph Nodes,Hypotension
Chills,Fever,Joint Pain,Diarrhea,Blurred Vision,Skin Redness,Runny Nose,Typhoid
Rash,Joint Pain,Chills,Fever,Low Blood Pressure,Shortness of Breath,Fatigue,Pneumonia
Headache,High Blood Pressure,Abdominal Pain,Dizziness,Rash,Fatigue,Loss of Taste,Hypertension
Chest Pain,Fatigue,Fever,Runny Nose,Headache,Difficulty Swallowing,Weakness,Flu
Loss of Smell,Chest Pain,Low Blood Pressure,Confusion,Joint Pain,Diarrhea,High Blood Pressure,Food Poisoning
Nausea,Loss of Appetite,Runny Nose,Blurred Vision,Low Blood Pressure,Skin Peeling,Difficulty Swallowing,Food Poisoning
Swollen Lymph Nodes,Loss of Smell,Cough,Sore Throat,Muscle Pain,Rash,Fatigue,Scarlet Fever
Chills,Chest Pain,Blurred Vision,Weakness,Sweating,Joint Pain,Ear Pain,Pneumonia
Muscle Pain,Dizziness,High Blood Pressure,Loss of Taste,Abdominal Pain,Blurred Vision,Runny Nose,Food Poisoning
Shortness of Breath,Loss of Smell,Chills,Weakness,Cough,Rash,Sweating,Unknown
Loss of Smell,Blurred Vision,Loss of Taste,Headache,Dizziness,Sore Throat,Vomiting,Malaria
Muscle Pain,Weakness,Loss of Taste,Chills,Confusion,Difficulty Swallowing,Runny Nose,COVID-19
Low Blood Pressure,Ear Pain,Difficulty Swallowing,Shortness of Breath,Abdominal Pain,Loss of Taste,Headache,Unknown
Loss of Taste,Low Blood Pressure,Diarrhea,Muscle Pain,Confusion,Chest Pain,Ear Pain,Pneumonia
Rapid Heart Rate,Fever,Shortness of Breath,Skin Peeling,Vomiting,Ear Pain,Cough,Typhoid
Difficulty Swallowing,Sweating,Muscle Pain,Fever,Joint Pain,Chest Pain,Skin Peeling,Ear Infection
Skin Peeling,Vomiting,Joint Pain,Abdominal Pain,Blurred Vision,Weakness,Shortness of Breath,Dengue
Rapid Heart Rate,Dizziness,Cough,Fatigue,Rash,Loss of Appetite,Sore Throat,Scarlet Fever
